time,temp_mean,temp_min,temp_max,precipitation,snow,wind_direction,wind_speed,wind_gust,pressure,sunshine_hours
2017-01-14,9.0,6.6,12.0,0.0,,200.0,21.5,,1009.1,
2017-01-15,5.0,2.9,9.5,0.0,,5.0,20.6,,1015.4,
2017-01-16,5.7,4.0,8.0,0.0,,48.0,16.7,,1016.2,
2017-01-17,6.8,4.0,9.0,0.0,,0.0,15.7,,1017.3,
2017-01-18,7.4,6.0,8.3,0.0,,18.0,20.5,,1022.7,
2017-01-19,6.9,5.8,9.0,0.0,,38.0,23.0,,1027.6,
2017-01-20,4.5,3.0,6.2,0.0,,23.0,24.1,,1031.6,
2017-01-21,4.0,2.0,6.0,0.0,,37.0,14.1,,1031.6,
2017-01-22,3.5,0.4,5.4,0.0,,45.0,11.8,,1033.0,
2017-01-23,5.4,3.0,8.1,0.0,,48.0,17.5,,1029.1,
2017-01-24,5.5,3.0,8.1,0.0,,49.0,12.5,,1021.1,
2017-01-25,3.9,2.0,6.0,0.0,,13.0,29.6,,1019.7,
2017-01-26,1.5,0.0,3.0,0.0,,358.0,27.7,,1019.7,
2017-01-27,-0.3,-1.2,1.0,0.0,,337.0,24.4,,1019.7,
2017-01-28,1.0,0.0,2.0,0.0,,318.0,17.5,,1019.7,
2017-01-29,3.9,1.5,6.0,0.0,,37.0,15.1,,1028.9,
2017-01-30,3.5,2.7,5.0,0.0,,55.0,18.7,,1027.7,
2017-01-31,2.2,0.9,5.0,0.0,,72.0,17.9,,1030.5,
2017-02-01,2.2,-2.0,5.0,0.0,,30.0,8.0,,1030.5,
2017-02-02,4.5,-1.0,7.3,0.0,,204.0,9.9,,1030.2,
2017-02-03,8.5,6.0,12.0,0.0,,218.0,16.6,,1024.4,
2017-02-04,9.8,8.0,12.6,0.0,,231.0,14.5,,1018.7,
2017-02-05,10.0,9.0,11.0,0.0,,214.0,18.8,,1014.0,
2017-02-06,11.9,9.0,15.0,0.0,,230.0,12.0,,1014.9,
2017-02-07,13.2,10.0,15.4,0.0,,230.0,8.7,,1014.6,
2017-02-08,8.4,5.9,13.4,0.0,,337.0,20.7,,1016.3,
2017-02-09,5.4,4.5,7.0,0.0,,350.0,26.7,,1024.9,
2017-02-10,5.7,5.0,7.0,0.0,,40.0,25.7,,1027.6,
2017-02-11,5.0,4.0,7.0,0.0,,52.0,22.9,,1028.3,
2017-02-12,3.5,2.0,5.5,0.0,,36.0,19.5,,1031.9,
2017-02-13,2.8,1.9,4.0,0.0,,32.0,20.0,,1032.1,
2017-02-14,1.0,-2.0,3.0,0.0,,6.0,22.4,,1032.1,
2017-02-15,2.6,-0.3,4.0,0.0,,312.0,18.3,,1030.1,
2017-02-16,3.6,3.0,5.0,0.0,,1.0,19.2,,1034.1,
2017-02-17,3.1,-1.0,6.0,0.0,,1.0,7.0,,1028.7,
2017-02-18,6.7,2.0,11.0,0.0,,213.0,9.4,,1023.8,
2017-02-19,11.0,8.0,15.0,0.0,,131.0,8.8,,1024.6,
2017-02-20,7.8,6.0,10.0,0.0,,160.0,11.2,,1020.5,
2017-02-21,6.1,2.7,9.0,0.0,,160.0,5.8,,1017.9,
2017-02-22,8.7,6.0,11.2,0.0,,250.0,11.3,,1017.1,
2017-02-23,10.4,7.9,14.0,0.0,,239.0,13.8,,1016.9,
2017-02-24,11.6,9.0,14.6,0.0,,236.0,19.2,,1016.3,
2017-02-25,11.2,7.7,16.0,0.0,,262.0,22.6,,1019.5,
2017-02-26,8.1,6.8,11.6,0.0,,45.0,15.9,,1025.3,
2017-02-27,6.8,4.0,9.0,0.0,,45.0,6.8,,1020.6,
2017-02-28,6.3,4.9,8.0,0.0,,45.0,5.8,,1016.9,
2017-03-01,6.0,4.4,8.0,0.0,,216.0,7.7,,1012.3,
2017-03-02,10.3,8.1,12.0,0.0,,14.0,16.3,,1011.7,
2017-03-03,9.8,8.6,11.3,0.0,,14.0,8.8,,1019.2,
2017-03-04,11.3,5.8,17.0,0.0,,57.0,10.9,,1023.4,
2017-03-05,11.7,4.0,19.0,0.0,,57.0,5.7,,1020.7,
2017-03-06,12.8,8.4,17.3,0.0,,223.0,7.3,,1013.8,
2017-03-07,14.9,10.0,20.0,0.0,,246.0,9.9,,1010.7,
2017-03-08,13.8,10.0,20.0,0.0,,19.0,17.7,,1010.3,
2017-03-09,9.2,8.0,11.0,0.0,,4.0,26.7,,1013.0,
2017-03-10,9.5,7.7,14.2,0.0,,3.0,15.9,,1007.3,
2017-03-11,8.8,8.0,10.0,0.0,,22.0,24.9,,1006.2,
2017-03-12,8.1,7.5,9.0,0.0,,23.0,25.0,,1009.2,
2017-03-13,6.4,5.0,7.5,0.0,,327.0,14.9,,1014.2,
2017-03-14,5.1,4.0,7.0,0.0,,299.0,15.1,,1020.0,
